Item,Material,Subtotal,MaterialGroup1
20,19042793,2750,SB FURNITURE
140,19108408,5142.44,KONCEPT FURNITURE
20,19097865,44500,POSH ATELIER
20,19042767,16800,SB FURNITURE
40,19109865,9299.33,SB FURNITURE
20,19089841,49900,CLICHE
20,19098035,32400,POSH ATELIER
40,19108408,5475,KONCEPT FURNITURE
20,19098064,28800,POSH ATELIER
40,19109482,7177.11,KONCEPT FURNITURE
80,19026309,11700,SB FURNITURE
20,19081438,29600,POSH ATELIER
20,19091633,28900,SCHULTZ DESIGN
60,19108408,4905.79,KONCEPT FURNITURE
60,19108408,4905.79,KONCEPT FURNITURE
20,19098016,36800,POSH ATELIER
20,19111253,17900,CLICHE
60,19097865,35600,POSH ATELIER
40,19109647,7639.89,SB FURNITURE
60,19111085,14900,KONCEPT FURNITURE
60,19111085,14900,KONCEPT FURNITURE
20,19086658,800,KONCEPT FURNITURE
20,19045920,18980,SB FURNITURE
20,19050260,18980,SB FURNITURE
20,19095537,18330,SB FURNITURE
20,19096150,8385,SB FURNITURE
40,19110738,7461.77,KONCEPT FURNITURE
20,19111085,14900,KONCEPT FURNITURE
20,19072321,21632.43,POSH ATELIER
20,19113842,22600,SB FURNITURE
20,19111253,21728,CLICHE
40,19096149,7695.23,SB FURNITURE
20,19091633,28900,SCHULTZ DESIGN
20,19045920,20805,SB FURNITURE
20,19113842,21470,SB FURNITURE
20,19098020,37600,POSH ATELIER
20,19116081,22875,SB FURNITURE
20,19081262,28800,POSH ATELIER
20,19081438,29600,POSH ATELIER
60,19116972,16949.46,VINTAGE PASSION
60,19044446,10037.74,SB FURNITURE
20,19116092,29900,HERITAGE
20,19091633,27900,SCHULTZ DESIGN
20,19098016,26800,POSH ATELIER
20,19093324,29900,SCHULTZ DESIGN
20,19045919,28950,SB FURNITURE
20,19098065,28800,POSH ATELIER
140,19097438,11566.57,SB FURNITURE
40,19116055,25737.36,LE LUXE
40,19112132,23900,LE LUXE
40,19096156,9425,SB FURNITURE
20,19116092,29900,HERITAGE
40,19096155,7745.84,SB FURNITURE
20,19112863,8890,KONCEPT FURNITURE
40,19116055,25737.36,LE LUXE
20,19113819,12900,KONCEPT FURNITURE
20,19116086,41800,SB FURNITURE
100,19110881,9839.32,SB FURNITURE
60,19116972,16949.46,VINTAGE PASSION
60,19111253,19900,CLICHE
20,19111253,19900,CLICHE
20,19081488,29600,POSH ATELIER
20,19081488,29600,POSH ATELIER
20,19081438,28600,POSH ATELIER
60,19078194,19900,CLICHE
20,19081488,29600,POSH ATELIER
20,19097865,31150,POSH ATELIER
20,19088711,96740,SB FURNITURE
60,19124946,12670,SB FURNITURE
40,19091913,12828.91,SB FURNITURE
20,19060121,12500,SB FURNITURE
40,19110740,8047.95,KONCEPT FURNITURE
40,19110740,8047.95,KONCEPT FURNITURE
40,19110740,8047.95,KONCEPT FURNITURE
40,19110740,8047.95,KONCEPT FURNITURE
40,19110740,8047.95,KONCEPT FURNITURE
40,19110740,8047.95,KONCEPT FURNITURE
40,19110740,8047.95,KONCEPT FURNITURE
40,19110740,8047.95,KONCEPT FURNITURE
40,19110740,8047.95,KONCEPT FURNITURE
40,19110740,8047.95,KONCEPT FURNITURE
40,19110740,8047.95,KONCEPT FURNITURE
40,19110740,8047.95,KONCEPT FURNITURE
40,19110740,8047.95,KONCEPT FURNITURE
40,19110740,8047.95,KONCEPT FURNITURE
40,19110740,8047.95,KONCEPT FURNITURE
40,19110740,8047.95,KONCEPT FURNITURE
40,19110740,8047.95,KONCEPT FURNITURE
40,19110740,8047.95,KONCEPT FURNITURE
40,19110740,8047.95,KONCEPT FURNITURE
40,19110740,8047.95,KONCEPT FURNITURE
40,19110740,8047.95,KONCEPT FURNITURE
40,19110740,8047.95,KONCEPT FURNITURE
40,19110740,8047.95,KONCEPT FURNITURE
40,19110740,8047.95,KONCEPT FURNITURE
40,19110740,8047.95,KONCEPT FURNITURE
40,19110740,8047.95,KONCEPT FURNITURE
40,19110740,8047.95,KONCEPT FURNITURE
